Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);1;;0.9590909090909091;0.9590909090909091;4.290974855422974;;;;
(None, 4);1;;0.9590909090909091;0.9590909090909091;8.547239065170288;;;;
(None, 5);6;;0.9525974025974026;0.9525974025974026;31.64370083808899;;;;
(None, 6);11;;0.9525974025974026;0.9525974025974026;32.18101787567139;;;;
(None, 8);20;;0.9525974025974026;0.9525974025974026;36.492971658706665;;;;
(None, 10);20;;0.9525974025974026;0.9525974025974026;40.86800575256348;;;;
(None, 12);20;;0.9525974025974026;0.9525974025974026;45.19215440750122;;;;
(None, 14);20;;0.9525974025974026;0.9525974025974026;49.50452518463135;;;;
(None, 16);20;;0.9525974025974026;0.9525974025974026;53.84303307533264;;;;
(None, 17);30;;0.8454545454545455;0.8454545454545455;391.16404581069946;;;;
(None, 18);35;;0.8538961038961039;0.8454545454545455;628.0460071563721;;;;
(None, 19);40;;0.8383116883116883;0.8383116883116883;865.9929456710815;;;;
(None, 20);45;;0.8454545454545455;0.8383116883116883;1106.947983264923;;;;
(None, 21);50;;0.8532467532467533;0.8383116883116883;1107.4895474910736;;;;
(None, 23);59;;0.837012987012987;0.837012987012987;1111.7766749858856;;;;
(None, 25);59;;0.8402597402597403;0.837012987012987;1116.07426404953;;;;
(None, 27);59;;0.8525974025974026;0.837012987012987;1120.3320569992065;;;;
(None, 29);59;;0.8519480519480519;0.837012987012987;1124.669980764389;;;;
(None, 30);69;;0.2798701298701299;0.2798701298701299;1154.1253242492676;;;;
(None, 31);74;;0.2805194805194805;0.2798701298701299;1154.674215555191;;;;
(None, 32);79;;0.2714285714285714;0.2714285714285714;1177.7753977775574;;;;
(None, 33);84;;0.2824675324675325;0.2714285714285714;1201.0588119029999;;;;
(None, 35);110;;0.2681818181818182;0.2681818181818182;1205.3260231018066;;;;
(None, 37);110;;0.274025974025974;0.2681818181818182;1209.5870072841644;;;;
(None, 39);110;;0.2785714285714286;0.2681818181818182;1213.8688974380493;;;;
(None, 41);110;;0.2753246753246753;0.2681818181818182;1218.180383682251;;;;
(None, 43);110;;0.2818181818181818;0.2681818181818182;1222.5195753574371;;;;
(None, 44);115;;0.07012987012987013;0.07012987012987013;1373.5451674461365;;;;
(None, 45);120;;0.08376623376623377;0.07012987012987013;1523.0490536689758;;;;
(None, 46);125;;0.08636363636363636;0.07012987012987013;1674.1341319084167;;;;
(None, 47);130;;0.07922077922077922;0.07012987012987013;1674.6802170276642;;;;
(None, 48);135;;0.08181818181818182;0.07012987012987013;1824.0813529491425;;;;
