Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);4;;0.9503816793893122;0.9503816793893122;12.40981149673462;;;;
(None, 4);4;;0.9503816793893122;0.9503816793893122;21.873361110687256;;;;
(None, 6);4;;0.9503816793893122;0.9503816793893122;30.97746777534485;;;;
(None, 8);4;;0.9503816793893122;0.9503816793893122;40.67638158798218;;;;
(None, 10);4;;0.9503816793893122;0.9503816793893122;50.07034754753113;;;;
(None, 12);4;;0.9503816793893122;0.9503816793893122;58.47965598106384;;;;
(None, 14);4;;0.9503816793893122;0.9503816793893122;66.97336912155151;;;;
(None, 16);4;;0.9503816793893122;0.9503816793893122;75.5682053565979;;;;
(None, 18);4;;0.9503816793893122;0.9503816793893122;86.77743434906006;;;;
(None, 20);4;;0.9503816793893122;0.9503816793893122;95.25484704971313;;;;
(None, 21);14;;0.8435114503816794;0.8435114503816794;96.29700541496277;;;;
(None, 22);19;;0.8435114503816794;0.8435114503816794;97.39397478103638;;;;
(None, 23);24;;0.8435114503816794;0.8435114503816794;98.57067227363586;;;;
(None, 24);29;;0.8435114503816794;0.8435114503816794;99.71382474899292;;;;
(None, 25);34;;0.8435114503816794;0.8435114503816794;102.1265013217926;;;;
(None, 26);39;;0.8435114503816794;0.8435114503816794;103.17556929588318;;;;
(None, 27);44;;0.8435114503816794;0.8435114503816794;104.49454641342163;;;;
(None, 28);49;;0.8435114503816794;0.8435114503816794;105.61549115180969;;;;
(None, 29);54;;0.8435114503816794;0.8435114503816794;107.59093260765076;;;;
(None, 30);59;;0.8435114503816794;0.8435114503816794;108.73501205444336;;;;
(None, 32);70;;0.8435114503816794;0.8435114503816794;118.13161635398865;;;;
(None, 34);70;;0.8435114503816794;0.8435114503816794;126.59787964820862;;;;
(None, 36);70;;0.8435114503816794;0.8435114503816794;135.44590091705322;;;;
(None, 38);70;;0.8435114503816794;0.8435114503816794;143.48431944847107;;;;
(None, 40);70;;0.8435114503816794;0.8435114503816794;152.09007048606873;;;;
(None, 42);70;;0.8435114503816794;0.8435114503816794;161.4520754814148;;;;
(None, 44);70;;0.8435114503816794;0.8435114503816794;169.67319631576538;;;;
(None, 46);70;;0.8435114503816794;0.8435114503816794;178.1638753414154;;;;
(None, 47);80;;0.7366412213740458;0.7366412213740458;179.23563933372498;;;;
(None, 48);85;;0.7366412213740458;0.7366412213740458;180.61170601844788;;;;
(None, 49);90;;0.7366412213740458;0.7366412213740458;181.8203330039978;;;;
(None, 50);95;;0.7366412213740458;0.7366412213740458;182.9801962375641;;;;
(None, 51);100;;0.7366412213740458;0.7366412213740458;184.06511878967285;;;;
(None, 52);105;;0.7366412213740458;0.7366412213740458;185.1529839038849;;;;
(None, 53);110;;0.7366412213740458;0.7366412213740458;186.29389762878418;;;;
(None, 54);115;;0.7366412213740458;0.7366412213740458;187.41955637931824;;;;
(None, 56);132;;0.7366412213740458;0.7366412213740458;196.51231837272644;;;;
(None, 58);132;;0.7366412213740458;0.7366412213740458;205.62298560142517;;;;
(None, 60);132;;0.7366412213740458;0.7366412213740458;214.002051115036;;;;
(None, 62);132;;0.7366412213740458;0.7366412213740458;222.63176107406616;;;;
(None, 64);132;;0.7366412213740458;0.7366412213740458;231.4508192539215;;;;
(None, 66);132;;0.7366412213740458;0.7366412213740458;240.96693658828735;;;;
(None, 68);132;;0.7366412213740458;0.7366412213740458;249.78994798660278;;;;
(None, 70);132;;0.7366412213740458;0.7366412213740458;259.1814670562744;;;;
(None, 72);132;;0.7366412213740458;0.7366412213740458;268.5856590270996;;;;
(None, 74);132;;0.7366412213740458;0.7366412213740458;277.46844601631165;;;;
(None, 75);142;;0.6777709923664155;0.6777709923664155;278.6891436576843;;;;
(None, 76);147;;0.6777709923664155;0.6777709923664155;280.01826882362366;;;;
(None, 77);152;;0.6777709923664155;0.6777709923664155;281.2790424823761;;;;
(None, 78);157;;0.6777709923664155;0.6777709923664155;282.4569900035858;;;;
(None, 79);162;;0.6744732824427496;0.6744732824427496;284.59158754348755;;;;
(None, 80);167;;0.672274781679393;0.672274781679393;285.97401118278503;;;;
(None, 81);172;;0.6730599664122173;0.672274781679393;287.44667315483093;;;;
(None, 82);177;;0.6695267175572532;0.6695267175572532;289.055157661438;;;;
(None, 83);182;;0.6704427389313015;0.6695267175572532;290.4710166454315;;;;
(None, 84);187;;0.6711755725190838;0.6695267175572532;296.1249520778656;;;;
(None, 86);198;;0.6711755725190838;0.6695267175572532;305.12610268592834;;;;
(None, 88);198;;0.6711755725190838;0.6695267175572532;313.96619510650635;;;;
(None, 90);198;;0.6711755725190838;0.6695267175572532;323.13040018081665;;;;
(None, 92);198;;0.6711755725190838;0.6695267175572532;332.11173605918884;;;;
(None, 94);198;;0.6711755725190838;0.6695267175572532;340.32616353034973;;;;
(None, 96);198;;0.6711755725190838;0.6695267175572532;349.196138381958;;;;
(None, 97);203;;0.5643053435114518;0.5643053435114518;350.34279322624207;;;;
(None, 98);208;;0.5643053435114518;0.5643053435114518;351.64109683036804;;;;
(None, 99);213;;0.5643053435114518;0.5643053435114518;352.77996015548706;;;;
(None, 100);218;;0.5643053435114518;0.5643053435114518;353.94165420532227;;;;
(None, 101);223;;0.5643053435114518;0.5643053435114518;355.57325506210327;;;;
(None, 102);228;;0.5643053435114518;0.5643053435114518;356.7709491252899;;;;
(None, 104);239;;0.5643053435114518;0.5643053435114518;365.40851640701294;;;;
(None, 106);239;;0.5643053435114518;0.5643053435114518;374.1727592945099;;;;
(None, 108);239;;0.5643053435114518;0.5643053435114518;382.5010795593262;;;;
(None, 110);239;;0.5643053435114518;0.5643053435114518;391.9972219467163;;;;
(None, 112);239;;0.5643053435114518;0.5643053435114518;400.8177983760834;;;;
(None, 114);239;;0.5643053435114518;0.5643053435114518;409.2691833972931;;;;
(None, 116);239;;0.5643053435114518;0.5643053435114518;418.02474570274353;;;;
(None, 118);239;;0.5643053435114518;0.5643053435114518;426.8649878501892;;;;
(None, 119);249;;0.45743511450381824;0.45743511450381824;428.25213599205017;;;;
(None, 120);254;;0.45743511450381824;0.45743511450381824;429.5928657054901;;;;
(None, 121);259;;0.45743511450381824;0.45743511450381824;430.715145111084;;;;
(None, 122);264;;0.45743511450381824;0.45743511450381824;431.88805294036865;;;;
(None, 123);269;;0.45743511450381824;0.45743511450381824;433.0879738330841;;;;
(None, 124);274;;0.45743511450381824;0.45743511450381824;434.24753427505493;;;;
(None, 125);279;;0.45743511450381824;0.45743511450381824;435.52965021133423;;;;
(None, 126);284;;0.4565357465648869;0.4565357465648869;436.90128922462463;;;;
(None, 128);304;;0.4565357465648869;0.4565357465648869;445.455842256546;;;;
(None, 130);304;;0.4565357465648869;0.4565357465648869;454.51573157310486;;;;
(None, 132);304;;0.4565357465648869;0.4565357465648869;463.7502098083496;;;;
(None, 134);304;;0.4565357465648869;0.4565357465648869;472.3945002555847;;;;
(None, 136);304;;0.4565357465648869;0.4565357465648869;481.81582498550415;;;;
(None, 138);304;;0.4565357465648869;0.4565357465648869;491.3002324104309;;;;
(None, 140);304;;0.4565357465648869;0.4565357465648869;499.9401104450226;;;;
(None, 142);304;;0.4565357465648869;0.4565357465648869;508.6617953777313;;;;
(None, 144);304;;0.4565357465648869;0.4565357465648869;517.9892592430115;;;;
(None, 146);304;;0.4565357465648869;0.4565357465648869;526.4178557395935;;;;
(None, 148);304;;0.4565357465648869;0.4565357465648869;535.0081660747528;;;;
(None, 150);304;;0.4565357465648869;0.4565357465648869;543.3303508758545;;;;
(None, 152);304;;0.4565357465648869;0.4565357465648869;552.0075011253357;;;;
(None, 153);314;;0.36798612824427623;0.36798612824427623;553.254812002182;;;;
(None, 154);319;;0.36798612824427623;0.36798612824427623;554.9735743999481;;;;
(None, 155);324;;0.36798612824427623;0.36798612824427623;556.1689856052399;;;;
(None, 156);329;;0.36798612824427623;0.36798612824427623;557.3091690540314;;;;
(None, 157);334;;0.36798612824427623;0.36798612824427623;558.5946214199066;;;;
(None, 158);339;;0.36798612824427623;0.36798612824427623;559.8391981124878;;;;
(None, 159);344;;0.36798612824427623;0.36798612824427623;561.185868024826;;;;
(None, 160);349;;0.36798612824427623;0.36798612824427623;562.6116132736206;;;;
(None, 161);354;;0.36798612824427623;0.36798612824427623;563.8223991394043;;;;
(None, 162);359;;0.36798612824427623;0.36798612824427623;565.0491676330566;;;;
(None, 163);364;;0.36798612824427623;0.36798612824427623;566.1999583244324;;;;
(None, 164);369;;0.36798612824427623;0.36798612824427623;567.3569624423981;;;;
(None, 165);374;;0.36798612824427623;0.36798612824427623;568.6970145702362;;;;
(None, 167);414;;0.36798612824427623;0.36798612824427623;577.1007874011993;;;;
(None, 169);414;;0.36798612824427623;0.36798612824427623;586.6520018577576;;;;
(None, 171);414;;0.36798612824427623;0.36798612824427623;595.7228479385376;;;;
(None, 173);414;;0.36798612824427623;0.36798612824427623;605.05961561203;;;;
(None, 175);414;;0.36798612824427623;0.36798612824427623;614.5234951972961;;;;
(None, 177);414;;0.36798612824427623;0.36798612824427623;623.4238045215607;;;;
(None, 179);414;;0.36798612824427623;0.36798612824427623;631.9503645896912;;;;
(None, 181);414;;0.36798612824427623;0.36798612824427623;641.1898272037506;;;;
(None, 183);414;;0.36798612824427623;0.36798612824427623;651.1001281738281;;;;
(None, 185);414;;0.36798612824427623;0.36798612824427623;659.8352453708649;;;;
(None, 186);424;;0.26111589923664086;0.26111589923664086;660.9834973812103;;;;
(None, 187);429;;0.26111589923664086;0.26111589923664086;662.1766376495361;;;;
(None, 188);434;;0.26111589923664086;0.26111589923664086;663.4177913665771;;;;
(None, 189);439;;0.26111589923664086;0.26111589923664086;664.79137134552;;;;
(None, 190);444;;0.26111589923664086;0.26111589923664086;665.9745519161224;;;;
(None, 191);449;;0.26111589923664086;0.26111589923664086;667.2377028465271;;;;
(None, 192);454;;0.26111589923664086;0.26111589923664086;668.8671016693115;;;;
(None, 193);459;;0.26111589923664086;0.26111589923664086;670.0867800712585;;;;
(None, 194);464;;0.26111589923664086;0.26111589923664086;671.4214718341827;;;;
(None, 195);469;;0.26111589923664086;0.26111589923664086;672.5735855102539;;;;
(None, 197);566;;0.26111589923664086;0.26111589923664086;681.2519562244415;;;;
(None, 199);566;;0.26111589923664086;0.26111589923664086;690.3571252822876;;;;
(None, 201);566;;0.26111589923664086;0.26111589923664086;698.7548723220825;;;;
(None, 203);566;;0.26111589923664086;0.26111589923664086;707.2164416313171;;;;
(None, 205);566;;0.26111589923664086;0.26111589923664086;715.7868843078613;;;;
(None, 207);566;;0.26111589923664086;0.26111589923664086;724.0417940616608;;;;
(None, 209);566;;0.26111589923664086;0.26111589923664086;733.0135264396667;;;;
(None, 211);566;;0.26111589923664086;0.26111589923664086;741.9448561668396;;;;
(None, 213);566;;0.26111589923664086;0.26111589923664086;750.3019664287567;;;;
(None, 215);566;;0.26111589923664086;0.26111589923664086;758.7099897861481;;;;
(None, 217);566;;0.26111589923664086;0.26111589923664086;767.8525433540344;;;;
(None, 219);566;;0.26111589923664086;0.26111589923664086;776.7552247047424;;;;
(None, 221);566;;0.26111589923664086;0.26111589923664086;784.9109342098236;;;;
(None, 222);571;;0.1542456702290076;0.1542456702290076;786.3554453849792;;;;
(None, 223);576;;0.1542456702290076;0.1542456702290076;787.5462877750397;;;;
(None, 224);581;;0.1542456702290076;0.1542456702290076;788.8175430297852;;;;
(None, 225);586;;0.1542456702290076;0.1542456702290076;790.0177135467529;;;;
(None, 226);591;;0.1542456702290076;0.1542456702290076;791.3356850147247;;;;
(None, 227);596;;0.1542456702290076;0.1542456702290076;792.4828362464905;;;;
(None, 228);601;;0.1542456702290076;0.1542456702290076;793.8197169303894;;;;
(None, 229);606;;0.1542456702290076;0.1542456702290076;795.0791764259338;;;;
(None, 230);611;;0.1542456702290076;0.1542456702290076;796.2732844352722;;;;
(None, 231);616;;0.1542456702290076;0.1542456702290076;797.4673969745636;;;;
(None, 232);621;;0.1542456702290076;0.1542456702290076;798.7066426277161;;;;
(None, 233);626;;0.1542456702290076;0.1542456702290076;799.8643014431;;;;
(None, 234);631;;0.1542456702290076;0.1542456702290076;801.0354750156403;;;;
(None, 236);1320;;0.1542456702290076;0.1542456702290076;809.74059009552;;;;
(None, 238);1320;;0.1542456702290076;0.1542456702290076;818.5744392871857;;;;
(None, 240);1320;;0.1542456702290076;0.1542456702290076;828.2442669868469;;;;
(None, 242);1320;;0.1542456702290076;0.1542456702290076;836.8345913887024;;;;
(None, 244);1320;;0.1542456702290076;0.1542456702290076;845.3337140083313;;;;
(None, 246);1320;;0.1542456702290076;0.1542456702290076;853.9838707447052;;;;
(None, 248);1320;;0.1542456702290076;0.1542456702290076;862.4543192386627;;;;
(None, 250);1320;;0.1542456702290076;0.1542456702290076;872.2667543888092;;;;
(None, 252);1320;;0.1542456702290076;0.1542456702290076;880.9145276546478;;;;
(None, 254);1320;;0.1542456702290076;0.1542456702290076;889.6873650550842;;;;
(None, 256);1320;;0.1542456702290076;0.1542456702290076;898.7149431705475;;;;
(None, 258);1320;;0.1542456702290076;0.1542456702290076;907.0447640419006;;;;
(None, 259);1325;;0.04737544122137401;0.04737544122137401;908.3362908363342;;;;
(None, 260);1330;;0.04737544122137401;0.04737544122137401;909.5034735202789;;;;
(None, 261);1335;;0.04737544122137401;0.04737544122137401;910.7067251205444;;;;
(None, 262);1340;;0.04737544122137401;0.04737544122137401;911.9723272323608;;;;
(None, 263);1345;;0.04737544122137401;0.04737544122137401;913.2301647663116;;;;
(None, 264);1350;;0.04737544122137401;0.04737544122137401;914.521995306015;;;;
(None, 265);1355;;0.04737544122137401;0.04737544122137401;915.7725222110748;;;;
(None, 266);1360;;0.04737544122137401;0.04737544122137401;916.9762501716614;;;;
(None, 267);1365;;0.04737544122137401;0.04737544122137401;918.2666878700256;;;;
(None, 268);1370;;0.04737544122137401;0.04737544122137401;919.535053730011;;;;
(None, 269);1375;;0.04737544122137401;0.04737544122137401;920.97438621521;;;;
(None, 270);1380;;0.04737544122137401;0.04737544122137401;922.1983969211578;;;;
(None, 272);1422;;0.04737544122137401;0.04737544122137401;931.830438375473;;;;
(None, 274);1422;;0.04737544122137401;0.04737544122137401;940.1844215393066;;;;
(None, 276);1422;;0.04737544122137401;0.04737544122137401;948.8582737445831;;;;
(None, 278);1422;;0.04737544122137401;0.04737544122137401;957.2008488178253;;;;
(None, 280);1422;;0.04737544122137401;0.04737544122137401;965.5869178771973;;;;
(None, 282);1422;;0.04737544122137401;0.04737544122137401;974.9059462547302;;;;
(None, 284);1422;;0.04737544122137401;0.04737544122137401;983.0008873939514;;;;
(None, 286);1422;;0.04737544122137401;0.04737544122137401;991.4607264995575;;;;
(None, 288);1422;;0.04737544122137401;0.04737544122137401;999.9303598403931;;;;
(None, 290);1422;;0.04737544122137401;0.04737544122137401;1009.6600730419159;;;;
(None, 291);1427;;0.008841090076335916;0.008841090076335916;1011.2496643066406;;;;
(None, 292);1432;;0.008841090076335916;0.008841090076335916;1022.634777545929;;;;
(None, 293);1437;;0.0007494870229007577;0.0007494870229007577;1024.310780286789;;;;
(None, 294);1442;;0.008841090076335916;0.0007494870229007577;1025.9000630378723;;;;
(None, 295);1447;;0.009465676335877915;0.0007494870229007577;1045.818689107895;;;;
(None, 296);1452;;0.009465676335877915;0.0007494870229007577;1047.6093664169312;;;;
(None, 297);1457;;0.0029923938931297354;0.0007494870229007577;1049.0902423858643;;;;
(None, 298);1462;;0.006768502290076327;0.0007494870229007577;1051.0096843242645;;;;
(None, 299);1467;;0.009465676335877915;0.0007494870229007577;1052.5479850769043;;;;
(None, 300);1472;;0.007442775572519039;0.0007494870229007577;1054.210684299469;;;;
