Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);13;;0.8030567685589479;0.8030567685589479;14.61959981918335;;;;
(None, 4);13;;0.8030567685589479;0.8030567685589479;25.00454616546631;;;;
(None, 6);13;;0.8030567685589479;0.8030567685589479;33.82094883918762;;;;
(None, 8);13;;0.8030567685589479;0.8030567685589479;41.67152690887451;;;;
(None, 10);13;;0.8030567685589479;0.8030567685589479;49.43535804748535;;;;
(None, 12);13;;0.8030567685589479;0.8030567685589479;58.01845145225525;;;;
(None, 14);13;;0.8030567685589479;0.8030567685589479;65.66968297958374;;;;
(None, 15);18;;0.4991266375545827;0.4991266375545827;66.8859715461731;;;;
(None, 16);23;;0.37390829694323147;0.37390829694323147;68.34414148330688;;;;
(None, 17);28;;0.37390829694323147;0.37390829694323147;69.65883803367615;;;;
(None, 18);33;;0.37390829694323147;0.37390829694323147;70.84996175765991;;;;
(None, 19);38;;0.39895196506550173;0.37390829694323147;72.3847451210022;;;;
(None, 20);43;;0.39477781168122245;0.37390829694323147;73.4965226650238;;;;
(None, 21);48;;0.39179636299126613;0.37390829694323147;75.51555752754211;;;;
(None, 23);97;;0.39179636299126613;0.37390829694323147;84.79617023468018;;;;
(None, 25);97;;0.39179636299126613;0.37390829694323147;94.67499351501465;;;;
(None, 27);97;;0.39179636299126613;0.37390829694323147;103.57341885566711;;;;
(None, 28);107;;0.017888066048034702;0.017888066048034702;104.98093485832214;;;;
(None, 29);112;;0.017888066048034702;0.017888066048034702;106.74457931518555;;;;
(None, 30);117;;0.017888066048034702;0.017888066048034702;107.85479736328125;;;;
