Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);12;;1.0;1.0;18.206608533859253;;;;
(None, 4);12;;1.0;1.0;30.43330430984497;;;;
(None, 6);12;;1.0;1.0;48.939697265625;;;;
(None, 8);12;;1.0;1.0;69.0680639743805;;;;
(None, 10);12;;1.0;1.0;88.603600025177;;;;
(None, 12);12;;1.0;1.0;100.63181447982788;;;;
(None, 14);12;;1.0;1.0;112.2651379108429;;;;
(None, 15);22;;0.5728571428571428;0.5728571428571428;113.91823768615723;;;;
(None, 16);27;;0.5361904761904762;0.5361904761904762;115.84213185310364;;;;
(None, 17);32;;0.520952380952381;0.520952380952381;117.45731115341187;;;;
(None, 18);37;;0.5438095238095239;0.520952380952381;119.04981970787048;;;;
(None, 19);42;;0.5642857142857143;0.520952380952381;121.55598449707031;;;;
(None, 20);47;;0.5442857142857143;0.520952380952381;123.26671314239502;;;;
(None, 21);52;;0.5485714285714286;0.520952380952381;125.06528043746948;;;;
(None, 23);90;;0.5223809523809524;0.520952380952381;135.6411590576172;;;;
(None, 25);90;;0.5352380952380953;0.520952380952381;147.00524067878723;;;;
(None, 27);90;;0.5376190476190477;0.520952380952381;158.39650750160217;;;;
(None, 28);95;;0.16476190476190475;0.16476190476190475;160.05323672294617;;;;
(None, 29);100;;0.1661904761904762;0.16476190476190475;161.40076446533203;;;;
(None, 30);105;;0.1742857142857143;0.16476190476190475;163.0463969707489;;;;
