Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);3;;1.0;1.0;12.944817781448364;;;;
(None, 4);3;;1.0;1.0;21.705353260040283;;;;
(None, 6);3;;1.0;1.0;30.495718717575073;;;;
(None, 8);3;;1.0;1.0;38.94964909553528;;;;
(None, 10);3;;1.0;1.0;48.19450092315674;;;;
(None, 12);3;;1.0;1.0;56.78510928153992;;;;
(None, 14);3;;1.0;1.0;65.60378742218018;;;;
(None, 16);3;;1.0;1.0;75.94904851913452;;;;
(None, 18);3;;1.0;1.0;84.6503324508667;;;;
(None, 20);3;;1.0;1.0;96.08354616165161;;;;
(None, 21);8;;0.9280245022970903;0.9280245022970903;97.18922924995422;;;;
(None, 22);13;;0.9280245022970903;0.9280245022970903;98.34695482254028;;;;
(None, 23);18;;0.9307810107197549;0.9280245022970903;100.01456332206726;;;;
(None, 24);23;;0.9316998468606432;0.9280245022970903;101.60249853134155;;;;
(None, 25);28;;0.9329249617151608;0.9280245022970903;102.87765979766846;;;;
(None, 26);33;;0.935375191424196;0.9280245022970903;104.1823501586914;;;;
(None, 27);38;;0.9313935681470138;0.9280245022970903;105.54443049430847;;;;
(None, 28);43;;0.9332312404287902;0.9280245022970903;106.84373688697815;;;;
(None, 29);48;;0.9350689127105666;0.9280245022970903;108.23671054840088;;;;
(None, 30);53;;0.9350689127105666;0.9280245022970903;109.59293580055237;;;;
(None, 32);62;;0.9341500765696784;0.9280245022970903;118.73586773872375;;;;
(None, 34);62;;0.9335375191424196;0.9280245022970903;127.91901230812073;;;;
(None, 36);62;;0.9350689127105666;0.9280245022970903;137.16273736953735;;;;
(None, 38);62;;0.9344563552833078;0.9280245022970903;145.91620016098022;;;;
(None, 40);62;;0.933843797856049;0.9280245022970903;155.09108781814575;;;;
(None, 42);62;;0.9347626339969373;0.9280245022970903;163.89677596092224;;;;
(None, 44);62;;0.935375191424196;0.9280245022970903;172.95075368881226;;;;
(None, 46);62;;0.932312404287902;0.9280245022970903;181.53660583496094;;;;
(None, 47);67;;0.8260336906584992;0.8260336906584992;182.6785204410553;;;;
(None, 48);72;;0.8315467075038285;0.8260336906584992;183.95588946342468;;;;
(None, 49);77;;0.8260336906584992;0.8260336906584992;185.48969674110413;;;;
(None, 50);82;;0.826646248085758;0.8260336906584992;186.70572185516357;;;;
(None, 51);87;;0.825114854517611;0.825114854517611;187.85216641426086;;;;
(None, 52);92;;0.8281776416539051;0.825114854517611;189.1371603012085;;;;
(None, 53);97;;0.8284839203675345;0.825114854517611;190.2870213985443;;;;
(None, 54);102;;0.8294027565084227;0.825114854517611;191.4857177734375;;;;
(None, 56);105;;0.826646248085758;0.825114854517611;200.93602108955383;;;;
(None, 58);105;;0.8290964777947932;0.825114854517611;209.51334881782532;;;;
(None, 60);105;;0.8238897396630934;0.8238897396630934;219.27746534347534;;;;
(None, 62);105;;0.8263399693721286;0.8238897396630934;228.3016209602356;;;;
(None, 64);105;;0.8297090352220521;0.8238897396630934;236.76945567131042;;;;
(None, 66);105;;0.826646248085758;0.8238897396630934;245.47185897827148;;;;
(None, 67);115;;0.7209800918836141;0.7209800918836141;246.77010655403137;;;;
(None, 68);120;;0.7169984686064319;0.7169984686064319;247.92035937309265;;;;
(None, 69);125;;0.7182235834609495;0.7169984686064319;249.3194694519043;;;;
(None, 70);130;;0.7212863705972435;0.7169984686064319;250.439035654068;;;;
(None, 71);135;;0.7200612557427258;0.7169984686064319;252.3843297958374;;;;
(None, 72);140;;0.7234303215926493;0.7169984686064319;255.63076210021973;;;;
(None, 74);145;;0.7188361408882082;0.7169984686064319;264.5666170120239;;;;
(None, 76);145;;0.7206738131699847;0.7169984686064319;274.0851867198944;;;;
(None, 78);145;;0.7197549770290965;0.7169984686064319;284.1590757369995;;;;
(None, 80);145;;0.7218989280245023;0.7169984686064319;293.4314386844635;;;;
(None, 82);145;;0.7203675344563553;0.7169984686064319;302.59112310409546;;;;
(None, 84);145;;0.7185298621745788;0.7169984686064319;317.5415539741516;;;;
(None, 86);145;;0.7200612557427258;0.7169984686064319;325.9522340297699;;;;
(None, 88);145;;0.7176110260336906;0.7169984686064319;334.86556935310364;;;;
(None, 90);145;;0.7194486983154671;0.7169984686064319;343.9576926231384;;;;
(None, 92);145;;0.7237366003062787;0.7169984686064319;352.73418951034546;;;;
(None, 93);150;;0.6153139356814702;0.6153139356814702;353.8936207294464;;;;
(None, 94);155;;0.6113323124042879;0.6113323124042879;355.0980923175812;;;;
(None, 95);160;;0.6131699846860643;0.6113323124042879;356.62254309654236;;;;
(None, 96);165;;0.6119448698315467;0.6113323124042879;358.0030436515808;;;;
(None, 97);170;;0.6116385911179173;0.6113323124042879;359.165559053421;;;;
(None, 98);175;;0.6119448698315467;0.6113323124042879;360.67674112319946;;;;
(None, 99);180;;0.6134762633996937;0.6113323124042879;362.0240364074707;;;;
(None, 100);185;;0.6147013782542113;0.6113323124042879;363.1904866695404;;;;
(None, 101);190;;0.6119448698315467;0.6113323124042879;364.5767722129822;;;;
(None, 102);195;;0.6131699846860643;0.6113323124042879;365.774386882782;;;;
(None, 104);207;;0.6128637059724349;0.6113323124042879;374.46476793289185;;;;
(None, 106);207;;0.6104134762633997;0.6104134762633997;383.46681904792786;;;;
(None, 108);207;;0.6137825421133232;0.6104134762633997;392.0268301963806;;;;
(None, 110);207;;0.6128637059724349;0.6104134762633997;400.5380063056946;;;;
(None, 112);207;;0.6134762633996937;0.6104134762633997;409.8629629611969;;;;
(None, 114);207;;0.6113323124042879;0.6104134762633997;418.53628063201904;;;;
(None, 116);207;;0.6113323124042879;0.6104134762633997;427.7307858467102;;;;
(None, 118);207;;0.6131699846860643;0.6104134762633997;436.2175283432007;;;;
(None, 119);217;;0.5099540581929556;0.5099540581929556;437.40546321868896;;;;
(None, 120);222;;0.5059724349157734;0.5059724349157734;438.6392002105713;;;;
(None, 121);227;;0.5053598774885145;0.5053598774885145;440.16759490966797;;;;
(None, 122);232;;0.508728943338438;0.5053598774885145;441.3837146759033;;;;
(None, 123);237;;0.505666156202144;0.5053598774885145;443.055965423584;;;;
(None, 124);242;;0.5081163859111791;0.5053598774885145;444.2544915676117;;;;
(None, 125);247;;0.5084226646248086;0.5053598774885145;445.8761842250824;;;;
(None, 126);252;;0.5062787136294028;0.5053598774885145;447.0677671432495;;;;
(None, 128);301;;0.5062787136294028;0.5053598774885145;455.74506402015686;;;;
(None, 130);301;;0.5047473200612558;0.5047473200612558;464.20132064819336;;;;
(None, 132);301;;0.5047473200612558;0.5047473200612558;472.487468957901;;;;
(None, 134);301;;0.5053598774885145;0.5047473200612558;480.7004177570343;;;;
(None, 136);301;;0.5038284839203675;0.5038284839203675;489.0650415420532;;;;
(None, 138);301;;0.5090352220520674;0.5038284839203675;498.7257342338562;;;;
(None, 140);301;;0.5062787136294028;0.5038284839203675;509.16747665405273;;;;
(None, 142);301;;0.5075038284839204;0.5038284839203675;517.5944533348083;;;;
(None, 144);301;;0.5068912710566615;0.5038284839203675;526.351634979248;;;;
(None, 146);301;;0.5090352220520674;0.5038284839203675;534.7494983673096;;;;
(None, 148);301;;0.5044410413476264;0.5038284839203675;544.1769983768463;;;;
(None, 150);301;;0.507197549770291;0.5038284839203675;554.0149264335632;;;;
(None, 152);301;;0.5050535987748851;0.5038284839203675;562.8085210323334;;;;
(None, 153);311;;0.4171516079632466;0.4171516079632466;564.3193979263306;;;;
(None, 154);316;;0.41745788667687594;0.4171516079632466;565.4764966964722;;;;
