Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);4;;0.9159807073955267;0.9159807073955267;15.257906913757324;;;;
(None, 4);4;;0.9159807073955267;0.9159807073955267;25.885993719100952;;;;
(None, 6);4;;0.9159807073955267;0.9159807073955267;36.113858699798584;;;;
(None, 8);4;;0.9159807073955267;0.9159807073955267;48.20811367034912;;;;
(None, 10);4;;0.9159807073955267;0.9159807073955267;59.420833587646484;;;;
(None, 12);4;;0.9159807073955267;0.9159807073955267;69.99306797981262;;;;
(None, 14);4;;0.9159807073955267;0.9159807073955267;81.45124840736389;;;;
(None, 15);9;;0.6346302250803852;0.6346302250803852;83.17417740821838;;;;
(None, 16);14;;0.6346302250803852;0.6346302250803852;84.68889546394348;;;;
(None, 17);19;;0.6346302250803852;0.6346302250803852;86.18317174911499;;;;
(None, 18);24;;0.6346302250803852;0.6346302250803852;87.68835401535034;;;;
(None, 19);29;;0.6346302250803852;0.6346302250803852;89.42562890052795;;;;
(None, 20);34;;0.6346302250803852;0.6346302250803852;91.21659708023071;;;;
(None, 21);39;;0.6346302250803852;0.6346302250803852;93.26758003234863;;;;
(None, 23);50;;0.6346302250803852;0.6346302250803852;106.04974913597107;;;;
(None, 25);50;;0.6346302250803852;0.6346302250803852;116.59147453308105;;;;
(None, 27);50;;0.6346302250803852;0.6346302250803852;127.5823495388031;;;;
(None, 29);50;;0.6346302250803852;0.6346302250803852;137.98016929626465;;;;
(None, 31);50;;0.6346302250803852;0.6346302250803852;148.20874094963074;;;;
(None, 33);50;;0.6346302250803852;0.6346302250803852;158.88931250572205;;;;
(None, 35);50;;0.6346302250803852;0.6346302250803852;170.77515029907227;;;;
(None, 36);55;;0.501897106109326;0.501897106109326;172.61076498031616;;;;
(None, 37);60;;0.48356913183279454;0.48356913183279454;174.72806000709534;;;;
(None, 38);65;;0.489678395498384;0.48356913183279454;176.7194857597351;;;;
(None, 39);70;;0.48356913183279454;0.48356913183279454;178.28219270706177;;;;
(None, 40);75;;0.48723472668809664;0.48356913183279454;180.24733090400696;;;;
(None, 41);80;;0.48723472668809664;0.48356913183279454;181.98898363113403;;;;
(None, 42);85;;0.48723472668809664;0.48356913183279454;184.16514587402344;;;;
(None, 44);92;;0.48723472668809664;0.48356913183279454;196.18344902992249;;;;
(None, 46);92;;0.48723472668809664;0.48356913183279454;207.84144377708435;;;;
(None, 48);92;;0.48723472668809664;0.48356913183279454;218.59176397323608;;;;
(None, 50);92;;0.48723472668809664;0.48356913183279454;229.57626605033875;;;;
(None, 52);92;;0.48723472668809664;0.48356913183279454;241.74033331871033;;;;
(None, 54);92;;0.48723472668809664;0.48356913183279454;254.6701159477234;;;;
(None, 56);92;;0.48723472668809664;0.48356913183279454;266.4727375507355;;;;
(None, 58);92;;0.48723472668809664;0.48356913183279454;278.929016828537;;;;
(None, 60);92;;0.48723472668809664;0.48356913183279454;290.87446641921997;;;;
(None, 62);92;;0.48723472668809664;0.48356913183279454;301.2198781967163;;;;
(None, 64);92;;0.48723472668809664;0.48356913183279454;313.3143837451935;;;;
(None, 66);92;;0.48723472668809664;0.48356913183279454;326.3654410839081;;;;
(None, 68);92;;0.48723472668809664;0.48356913183279454;342.05148911476135;;;;
(None, 69);97;;0.28581993569131736;0.28581993569131736;343.99292254447937;;;;
(None, 70);102;;0.25768488745980705;0.25768488745980705;346.02653455734253;;;;
(None, 71);107;;0.26706314308681706;0.25768488745980705;348.2404775619507;;;;
(None, 72);112;;0.26706314308681706;0.25768488745980705;350.6307759284973;;;;
(None, 73);117;;0.2717524115755632;0.25768488745980705;352.8178598880768;;;;
(None, 74);122;;0.2717524115755632;0.25768488745980705;354.8221912384033;;;;
(None, 75);127;;0.2745659163987145;0.25768488745980705;357.027982711792;;;;
(None, 76);132;;0.26706314308681706;0.25768488745980705;359.31725096702576;;;;
(None, 77);137;;0.26170426045016076;0.25768488745980705;362.0673818588257;;;;
(None, 78);142;;0.25768488745980705;0.25768488745980705;364.52944231033325;;;;
(None, 79);147;;0.26081097266881015;0.25768488745980705;366.94033432006836;;;;
(None, 80);152;;0.25768488745980705;0.25768488745980705;369.20985198020935;;;;
(None, 81);157;;0.2602426446945336;0.25768488745980705;371.2543170452118;;;;
(None, 83);164;;0.2602426446945336;0.25768488745980705;381.8448679447174;;;;
(None, 85);164;;0.2602426446945336;0.25768488745980705;393.1330773830414;;;;
(None, 87);164;;0.2602426446945336;0.25768488745980705;403.1586000919342;;;;
(None, 89);164;;0.2602426446945336;0.25768488745980705;413.60076093673706;;;;
(None, 91);164;;0.2602426446945336;0.25768488745980705;425.6938753128052;;;;
(None, 93);164;;0.2602426446945336;0.25768488745980705;438.57515835762024;;;;
(None, 95);164;;0.2602426446945336;0.25768488745980705;449.1777367591858;;;;
(None, 97);164;;0.2602426446945336;0.25768488745980705;459.69495153427124;;;;
(None, 99);164;;0.2602426446945336;0.25768488745980705;470.9931936264038;;;;
(None, 101);164;;0.2602426446945336;0.25768488745980705;482.2485864162445;;;;
(None, 103);164;;0.2602426446945336;0.25768488745980705;492.82184314727783;;;;
(None, 105);164;;0.2602426446945336;0.25768488745980705;503.2969160079956;;;;
(None, 107);164;;0.2602426446945336;0.25768488745980705;516.1223695278168;;;;
(None, 108);169;;0.006223352090032024;0.006223352090032024;518.2628581523895;;;;
(None, 109);174;;0.006223352090032024;0.006223352090032024;520.5459711551666;;;;
(None, 110);179;;0.006223352090032024;0.006223352090032024;523.1061501502991;;;;
(None, 111);184;;0.006223352090032024;0.006223352090032024;525.1718535423279;;;;
(None, 112);189;;0.006223352090032024;0.006223352090032024;528.0801796913147;;;;
(None, 113);194;;0.006223352090032024;0.006223352090032024;529.7667298316956;;;;
(None, 114);199;;0.006223352090032024;0.006223352090032024;531.9806048870087;;;;
(None, 115);204;;0.006223352090032024;0.006223352090032024;533.8617427349091;;;;
(None, 116);209;;0.006223352090032024;0.006223352090032024;536.2298822402954;;;;
(None, 117);214;;0.006223352090032024;0.006223352090032024;538.1202144622803;;;;
(None, 118);219;;0.006223352090032024;0.006223352090032024;540.4915826320648;;;;
(None, 119);224;;0.006223352090032024;0.006223352090032024;543.3391828536987;;;;
(None, 120);229;;0.006223352090032024;0.006223352090032024;545.6412534713745;;;;
