Metadata;Interaction;Success Rate;Variational Difference (Samples);Best VD;Elapsed Time;LAO (Costs);LAO (Success Rate);LAO (Aggregate Costs);LAO (Aggregate Success Rate)
(None, 2);2;;1.0;1.0;18.12581515312195;;;;
(None, 4);2;;1.0;1.0;32.38868188858032;;;;
(None, 6);2;;1.0;1.0;44.74887704849243;;;;
(None, 8);2;;1.0;1.0;57.274675607681274;;;;
(None, 10);2;;1.0;1.0;68.76268696784973;;;;
(None, 12);2;;1.0;1.0;81.0819525718689;;;;
(None, 14);2;;1.0;1.0;94.01025700569153;;;;
(None, 15);12;;0.7191011235955056;0.7191011235955056;95.59205937385559;;;;
(None, 16);17;;0.7191011235955056;0.7191011235955056;97.4857907295227;;;;
(None, 17);22;;0.7191011235955056;0.7191011235955056;100.49148631095886;;;;
(None, 18);27;;0.7191011235955056;0.7191011235955056;102.2657482624054;;;;
(None, 19);32;;0.7191011235955056;0.7191011235955056;103.75436067581177;;;;
(None, 20);37;;0.7191011235955056;0.7191011235955056;105.21571397781372;;;;
(None, 21);42;;0.7191011235955056;0.7191011235955056;106.83703589439392;;;;
(None, 23);52;;0.7191011235955056;0.7191011235955056;120.29756140708923;;;;
(None, 25);52;;0.7191011235955056;0.7191011235955056;133.23969721794128;;;;
(None, 27);52;;0.7191011235955056;0.7191011235955056;144.9496612548828;;;;
(None, 29);52;;0.7191011235955056;0.7191011235955056;157.48354578018188;;;;
(None, 31);52;;0.7191011235955056;0.7191011235955056;169.89123153686523;;;;
(None, 33);52;;0.7191011235955056;0.7191011235955056;182.1397705078125;;;;
(None, 35);52;;0.7191011235955056;0.7191011235955056;194.5764458179474;;;;
(None, 37);52;;0.7191011235955056;0.7191011235955056;207.77423858642578;;;;
(None, 39);52;;0.7191011235955056;0.7191011235955056;219.57784485816956;;;;
(None, 41);52;;0.7191011235955056;0.7191011235955056;231.33177065849304;;;;
(None, 43);52;;0.7191011235955056;0.7191011235955056;243.40390467643738;;;;
(None, 45);52;;0.7191011235955056;0.7191011235955056;256.02660870552063;;;;
(None, 47);52;;0.7191011235955056;0.7191011235955056;268.17466020584106;;;;
(None, 48);57;;0.5146067415730337;0.5146067415730337;270.04703402519226;;;;
(None, 49);62;;0.4895666131621188;0.4895666131621188;272.1290397644043;;;;
(None, 50);67;;0.4837881219903692;0.4837881219903692;274.75361800193787;;;;
(None, 51);72;;0.48796147672552165;0.4837881219903692;277.2044939994812;;;;
(None, 52);77;;0.4873194221508828;0.4837881219903692;279.78444933891296;;;;
(None, 53);82;;0.48346709470304977;0.48346709470304977;281.47315311431885;;;;
(None, 54);87;;0.4914927768860353;0.48346709470304977;283.75260281562805;;;;
(None, 55);92;;0.4911717495987159;0.48346709470304977;285.69288897514343;;;;
(None, 56);97;;0.4869983948635634;0.48346709470304977;287.92759132385254;;;;
(None, 57);102;;0.4873194221508828;0.48346709470304977;289.86367750167847;;;;
(None, 58);107;;0.48282504012841093;0.48282504012841093;292.0406758785248;;;;
(None, 59);112;;0.48507223113964687;0.48282504012841093;293.7590301036835;;;;
(None, 60);117;;0.48057784911717494;0.48057784911717494;296.4779860973358;;;;
(None, 62);126;;0.48089887640449436;0.48057784911717494;309.6842396259308;;;;
(None, 64);126;;0.48282504012841093;0.48057784911717494;321.1607220172882;;;;
(None, 66);126;;0.4812199036918138;0.48057784911717494;333.16146063804626;;;;
(None, 68);126;;0.4818619582664527;0.48057784911717494;345.7184991836548;;;;
(None, 70);126;;0.48089887640449436;0.48057784911717494;358.09184646606445;;;;
(None, 72);126;;0.48089887640449436;0.48057784911717494;370.2779619693756;;;;
(None, 74);126;;0.48057784911717494;0.48057784911717494;382.38143730163574;;;;
(None, 75);136;;0.3200642054574639;0.3200642054574639;384.8012692928314;;;;
(None, 76);141;;0.31974317817014447;0.31974317817014447;387.32158374786377;;;;
(None, 77);146;;0.31974317817014447;0.31974317817014447;389.7180051803589;;;;
(None, 78);151;;0.33964686998394866;0.31974317817014447;391.5993072986603;;;;
(None, 79);156;;0.3364365971107544;0.31974317817014447;394.1473457813263;;;;
(None, 80);161;;0.3319422150882825;0.31974317817014447;396.4698009490967;;;;
(None, 81);166;;0.33226324237560195;0.31974317817014447;398.5089223384857;;;;
(None, 83);174;;0.3293739967897271;0.31974317817014447;411.9314661026001;;;;
(None, 85);174;;0.3325842696629214;0.31974317817014447;424.36905550956726;;;;
(None, 87);174;;0.34125200642054576;0.31974317817014447;437.41123366355896;;;;
(None, 89);174;;0.33964686998394866;0.31974317817014447;449.01444268226624;;;;
(None, 91);174;;0.3325842696629214;0.31974317817014447;463.3921501636505;;;;
(None, 93);174;;0.32969502407704654;0.31974317817014447;476.2121603488922;;;;
